timestamp_utc,timestamp_casa,hour,symbol,broker_symbol,strategy,direction,entry,stop_loss,take_profit,rr,score,grade,confidence,demo_eligible,session,smc_status,smc_score,mtfa_status,mtfa_score,top_down_status,top_down_missing,top_down_missing_fields,setup_reason,rejection_reason,final_status,sh_decision,safety_decision,router_decision,mt5_status,event_type
2026-06-20T10:33:30.690874+00:00,2026-06-20 11:33:30,2026-06-20 11:00 CASA,BTCUSD#,BTCUSD#,ORDER_FLOW_EXECUTION_AGENT,SELL,63645.4,63781.4504,63441.3244,1.5,98,A,85,True,WEEKEND,FAIL,20.0,FAIL,15.0,WAIT,False,,ORDER_FLOW_SELL_LIQUIDITY_SWEEP_REVERSAL,H1_DIRECTION_CLEAR,ACCEPTED_BUT_ROUTER_BLOCKED,ACCEPT,PASS,BLOCK,NOT_SENT,SETUP_HUNTER
2026-06-20T10:33:40.329975+00:00,2026-06-20 11:33:40,2026-06-20 11:00 CASA,GOLD#,GOLD#,NONE,BUY,,,,,0,D,0,False,WEEKEND,,,,,,False,,,NO_STRATEGY_SIGNAL,NO_VALID_SETUP,REJECT,BLOCK,N/A,NOT_SENT,SETUP_HUNTER
2026-06-20T10:33:49.449763+00:00,2026-06-20 11:33:49,2026-06-20 11:00 CASA,EURUSD,EURUSD,NONE,BUY,,,,,0,D,0,False,WEEKEND,,,,,,False,,,NO_STRATEGY_SIGNAL,NO_VALID_SETUP,REJECT,BLOCK,N/A,NOT_SENT,SETUP_HUNTER
2026-06-20T10:33:59.294112+00:00,2026-06-20 11:33:59,2026-06-20 11:00 CASA,BTCUSD#,BTCUSD#,ORDER_FLOW_EXECUTION_AGENT,SELL,63645.4,63781.4504,63441.3244,1.5,98,A,85,True,WEEKEND,FAIL,20.0,FAIL,15.0,WAIT,False,,ORDER_FLOW_SELL_LIQUIDITY_SWEEP_REVERSAL,H1_DIRECTION_CLEAR,ACCEPTED_BUT_ROUTER_BLOCKED,ACCEPT,PASS,BLOCK,NOT_SENT,SETUP_HUNTER
2026-06-20T10:34:08.716303+00:00,2026-06-20 11:34:08,2026-06-20 11:00 CASA,GOLD#,GOLD#,NONE,BUY,,,,,0,D,0,False,WEEKEND,,,,,,False,,,NO_STRATEGY_SIGNAL,NO_VALID_SETUP,REJECT,BLOCK,N/A,NOT_SENT,SETUP_HUNTER
2026-06-20T10:34:17.505451+00:00,2026-06-20 11:34:17,2026-06-20 11:00 CASA,EURUSD,EURUSD,NONE,BUY,,,,,0,D,0,False,WEEKEND,,,,,,False,,,NO_STRATEGY_SIGNAL,NO_VALID_SETUP,REJECT,BLOCK,N/A,NOT_SENT,SETUP_HUNTER
2026-06-20T10:34:27.183937+00:00,2026-06-20 11:34:27,2026-06-20 11:00 CASA,BTCUSD#,BTCUSD#,ORDER_FLOW_EXECUTION_AGENT,SELL,63649.7,63781.4547,63452.06795,1.5,98,A,85,True,WEEKEND,FAIL,20.0,FAIL,15.0,WAIT,False,,ORDER_FLOW_SELL_LIQUIDITY_SWEEP_REVERSAL,H1_DIRECTION_CLEAR,ACCEPTED_BUT_ROUTER_BLOCKED,ACCEPT,PASS,BLOCK,NOT_SENT,SETUP_HUNTER
2026-06-20T10:34:36.900400+00:00,2026-06-20 11:34:36,2026-06-20 11:00 CASA,GOLD#,GOLD#,NONE,BUY,,,,,0,D,0,False,WEEKEND,,,,,,False,,,NO_STRATEGY_SIGNAL,NO_VALID_SETUP,REJECT,BLOCK,N/A,NOT_SENT,SETUP_HUNTER
2026-06-20T10:34:45.748792+00:00,2026-06-20 11:34:45,2026-06-20 11:00 CASA,EURUSD,EURUSD,NONE,BUY,,,,,0,D,0,False,WEEKEND,,,,,,False,,,NO_STRATEGY_SIGNAL,NO_VALID_SETUP,REJECT,BLOCK,N/A,NOT_SENT,SETUP_HUNTER
2026-06-20T10:34:57.675166+00:00,2026-06-20 11:34:57,2026-06-20 11:00 CASA,BTCUSD#,BTCUSD#,ORDER_FLOW_EXECUTION_AGENT,SELL,63642.3,63781.4473,63433.57905,1.5,98,A,85,True,WEEKEND,FAIL,20.0,FAIL,15.0,WAIT,False,,ORDER_FLOW_SELL_LIQUIDITY_SWEEP_REVERSAL,H1_DIRECTION_CLEAR,ACCEPTED_BUT_ROUTER_BLOCKED,ACCEPT,PASS,BLOCK,NOT_SENT,SETUP_HUNTER
2026-06-20T10:35:06.854704+00:00,2026-06-20 11:35:06,2026-06-20 11:00 CASA,GOLD#,GOLD#,NONE,BUY,,,,,0,D,0,False,WEEKEND,,,,,,False,,,NO_STRATEGY_SIGNAL,NO_VALID_SETUP,REJECT,BLOCK,N/A,NOT_SENT,SETUP_HUNTER
2026-06-20T10:35:15.551964+00:00,2026-06-20 11:35:15,2026-06-20 11:00 CASA,EURUSD,EURUSD,NONE,BUY,,,,,0,D,0,False,WEEKEND,,,,,,False,,,NO_STRATEGY_SIGNAL,NO_VALID_SETUP,REJECT,BLOCK,N/A,NOT_SENT,SETUP_HUNTER
