atr_percentile,be_armed,close_mode,direction,dxy_trend,ees_buy_band,ees_buy_score,ees_sell_band,ees_sell_score,entry_price,exit_price,geo,grade,kill_zone_active,killswitch_daily_pnl_at_decision,killswitch_pnl_recalibrated,miners_available,momentum_alignment,momentum_consensus,mtfa,of,r_multiple,real_pnl_mt5,reason,risk_usd,row_kind,score,session,sl,smc,strategy,symbol,ticket,tp,trailing_active,ts_broker,ts_utc
,,,SELL,,,,PRUDENCE,40.0,,,48.79,B,,-44.85,False,,,,50.0,90.0,,,failed_gate=DAILY_KILLSWITCH_MAX_LOSSES,,REFUSE,69.2,LONDON,,80.0,ORDER_FLOW_EXECUTION_AGENT,GOLD#,,,,2026-07-08 13:08:43.783406+00:00,2026-07-08 10:08:43.783406+00:00
,,,SELL,,,,PRUDENCE,40.0,,,37.78,B,,-44.85,False,,,,50.0,90.0,,,failed_gate=DAILY_KILLSWITCH_MAX_LOSSES,,REFUSE,66.44,LONDON,,80.0,ORDER_FLOW_EXECUTION_AGENT,GOLD#,,,,2026-07-08 13:09:08.749002+00:00,2026-07-08 10:09:08.749002+00:00
,,,SELL,,,,PRUDENCE,40.0,,,48.85,B,,-44.85,False,,,,50.0,90.0,,,failed_gate=DAILY_KILLSWITCH_MAX_LOSSES,,REFUSE,69.21,LONDON,,80.0,ORDER_FLOW_EXECUTION_AGENT,GOLD#,,,,2026-07-08 13:09:35.399069+00:00,2026-07-08 10:09:35.399069+00:00
,,,SELL,,,,PRUDENCE,40.0,,,61.37,B,,-44.85,False,,,,50.0,98.0,,,failed_gate=DAILY_KILLSWITCH_MAX_LOSSES,,REFUSE,74.74,LONDON,,80.0,ORDER_FLOW_EXECUTION_AGENT,GOLD#,,,,2026-07-08 13:10:03.145377+00:00,2026-07-08 10:10:03.145377+00:00
,,,SELL,,,,PRUDENCE,40.0,,,38.64,B,,-44.85,False,,,,75.0,90.0,,,failed_gate=DAILY_KILLSWITCH_MAX_LOSSES,,REFUSE,71.66,LONDON,,80.0,ORDER_FLOW_EXECUTION_AGENT,GOLD#,,,,2026-07-08 13:15:52.926147+00:00,2026-07-08 10:15:52.926147+00:00
,,,SELL,,,,PRUDENCE,40.0,,,38.57,B,,-44.85,False,,,,75.0,90.0,,,failed_gate=DAILY_KILLSWITCH_MAX_LOSSES,,REFUSE,71.64,LONDON,,80.0,ORDER_FLOW_EXECUTION_AGENT,GOLD#,,,,2026-07-08 13:16:28.371867+00:00,2026-07-08 10:16:28.371867+00:00
,,,SELL,,,,PRUDENCE,40.0,,,39.06,B,,-44.85,False,,,,75.0,90.0,,,failed_gate=DAILY_KILLSWITCH_MAX_LOSSES,,REFUSE,71.77,LONDON,,80.0,ORDER_FLOW_EXECUTION_AGENT,GOLD#,,,,2026-07-08 13:17:28.703425+00:00,2026-07-08 10:17:28.703425+00:00
,,,BUY,,SAIN,16.8,SAIN,19.3,,,50.8,B,,-44.85,False,,,,50.0,100.0,,,failed_gate=DAILY_KILLSWITCH_MAX_LOSSES,,REFUSE,65.2,LONDON,,50.0,ORDER_FLOW_EXECUTION_AGENT,BTCUSD#,,,,2026-07-08 13:18:16.293220+00:00,2026-07-08 10:18:16.293220+00:00
,,,SELL,,,,PRUDENCE,40.0,,,39.62,B,,-44.85,False,,,,75.0,90.0,,,failed_gate=DAILY_KILLSWITCH_MAX_LOSSES,,REFUSE,71.91,LONDON,,80.0,ORDER_FLOW_EXECUTION_AGENT,GOLD#,,,,2026-07-08 13:18:34.589724+00:00,2026-07-08 10:18:34.589724+00:00
,,,SELL,,,,,,,,,,,,,,,,,,,,failed_gate=GOLD_ANALYSIS_ONLY,,REFUSE,67.5,LONDON,,,GOLD_LIQUIDITY_HUNTER_PRO,GOLD#,,,,2026-07-08 13:25:34.022630+00:00,2026-07-08 10:25:34.022630+00:00
